video,category,pose_sequence,subset
pose_data/test/deadlift/video4.npy,deadlift,video4.npy,test
pose_data/test/deadlift/deadlift_1.npy,deadlift,deadlift_1.npy,test
pose_data/test/hammer curl/hammer curl_2.npy,hammer curl,hammer curl_2.npy,test
pose_data/test/hammer curl/hammer curl_1.npy,hammer curl,hammer curl_1.npy,test
pose_data/test/hammer curl/video6.npy,hammer curl,video6.npy,test
pose_data/test/tricep Pushdown/tricep pushdown_1.npy,tricep Pushdown,tricep pushdown_1.npy,test
pose_data/test/tricep Pushdown/video22.npy,tricep Pushdown,video22.npy,test
pose_data/test/squat/video19.npy,squat,video19.npy,test
pose_data/test/squat/squat_2.npy,squat,squat_2.npy,test
pose_data/test/squat/squat_1.npy,squat,squat_1.npy,test
pose_data/test/push-up/push-up_1.npy,push-up,push-up_1.npy,test
pose_data/test/push-up/video15.npy,push-up,video15.npy,test
pose_data/test/tricep dips/tricep dips_2.npy,tricep dips,tricep dips_2.npy,test
pose_data/test/tricep dips/tricep dips_1.npy,tricep dips,tricep dips_1.npy,test
pose_data/test/tricep dips/video21.npy,tricep dips,video21.npy,test
pose_data/test/lat pulldown/lat pulldown_2.npy,lat pulldown,lat pulldown_2.npy,test
pose_data/test/lat pulldown/lat pulldown_1.npy,lat pulldown,lat pulldown_1.npy,test
pose_data/test/lat pulldown/video9.npy,lat pulldown,video9.npy,test
pose_data/test/barbell biceps curl/video1.npy,barbell biceps curl,video1.npy,test
pose_data/test/barbell biceps curl/barbell biceps curl_1.npy,barbell biceps curl,barbell biceps curl_1.npy,test
pose_data/test/chest fly machine/video3.npy,chest fly machine,video3.npy,test
pose_data/test/chest fly machine/chest fly machine_1.npy,chest fly machine,chest fly machine_1.npy,test
pose_data/test/chest fly machine/chest fly machine_2.npy,chest fly machine,chest fly machine_2.npy,test
pose_data/test/chest fly machine/chest fly machine_3.npy,chest fly machine,chest fly machine_3.npy,test
pose_data/test/incline bench press/incline bench press_1.npy,incline bench press,incline bench press_1.npy,test
pose_data/test/incline bench press/incline bench press_2.npy,incline bench press,incline bench press_2.npy,test
pose_data/test/incline bench press/video8.npy,incline bench press,video8.npy,test
pose_data/test/leg extension/leg extension_1.npy,leg extension,leg extension_1.npy,test
pose_data/test/leg extension/video11.npy,leg extension,video11.npy,test
pose_data/test/leg extension/leg extension_2.npy,leg extension,leg extension_2.npy,test
pose_data/test/shoulder press/shoulder press_2.npy,shoulder press,shoulder press_2.npy,test
pose_data/test/shoulder press/video18.npy,shoulder press,video18.npy,test
pose_data/test/shoulder press/shoulder press_1.npy,shoulder press,shoulder press_1.npy,test
pose_data/test/t bar row/video20.npy,t bar row,video20.npy,test
pose_data/test/t bar row/t bar row_2.npy,t bar row,t bar row_2.npy,test
pose_data/test/t bar row/t bat row_1.npy,t bar row,t bat row_1.npy,test
pose_data/test/decline bench press/decline bench press_2.npy,decline bench press,decline bench press_2.npy,test
pose_data/test/decline bench press/video5.npy,decline bench press,video5.npy,test
pose_data/test/decline bench press/declince bench press_1.npy,decline bench press,declince bench press_1.npy,test
pose_data/test/bench press/video2.npy,bench press,video2.npy,test
pose_data/test/bench press/bench press_2.npy,bench press,bench press_2.npy,test
pose_data/test/bench press/bench press_1.npy,bench press,bench press_1.npy,test
pose_data/test/lateral raise/video10.npy,lateral raise,video10.npy,test
pose_data/test/lateral raise/lateral raise_1.npy,lateral raise,lateral raise_1.npy,test
pose_data/test/pull Up/pull up_1.npy,pull Up,pull up_1.npy,test
pose_data/test/pull Up/pull up_2.npy,pull Up,pull up_2.npy,test
pose_data/test/pull Up/video14.npy,pull Up,video14.npy,test
pose_data/test/plank/video13.npy,plank,video13.npy,test
pose_data/test/plank/plank_1.npy,plank,plank_1.npy,test
pose_data/test/leg raises/video12.npy,leg raises,video12.npy,test
pose_data/test/leg raises/leg raises_2.npy,leg raises,leg raises_2.npy,test
pose_data/test/leg raises/leg raises_1.npy,leg raises,leg raises_1.npy,test
pose_data/test/hip thrust/video7.npy,hip thrust,video7.npy,test
pose_data/test/hip thrust/hip thrush_1.npy,hip thrust,hip thrush_1.npy,test
pose_data/test/hip thrust/hip thrust_1.npy,hip thrust,hip thrust_1.npy,test
pose_data/test/romanian deadlift/romanian deadlift_2.npy,romanian deadlift,romanian deadlift_2.npy,test
pose_data/test/romanian deadlift/romanian deadlift_1.npy,romanian deadlift,romanian deadlift_1.npy,test
pose_data/test/romanian deadlift/video16.npy,romanian deadlift,video16.npy,test
pose_data/test/russian twist/russian twist_2.npy,russian twist,russian twist_2.npy,test
